Персоналии,Прочее,Топонимы
AardenLA,& Ebboetal Medicine,Bertrand Godeau
Adenopathy,A-SSA,Birmingham
AucouturierP,AB,Boucraut
Audrey Benyamine,ACKNOWLEDGMENT SugaiS,EB
BleekerWK,ADP,Fever
Brigitte Granel,AIP,France
C3 and/or C4,AP,FuruyaN
Christine Silvain,"AP-HM,13385MarseilleCedex05,France DOI:10.1097/MD.0b013e3182433d77 (e-mail:nicolas.schleinitz@ap-hm.fr)",GK
DISCUSSION,AalbersM,IgG4mAbontissue
DiegesPH,AalberseRC,JRH
Dieu,AardenLA,KanekoM
Emmanuel Andres,AkamatsuT,KawanamiT
Emmanuelle Bernit,AkitakeR,KawashimaA
Fanny Bernard,Angers,KuroseN
Fibrosiswasnoticedin80%andextranodallymphoid,AnnHematol.2006;85:833Y840,LD
Gilles Kaplanski,AnnRheumDis.2009;68:1310Y1315,LN
Hamano,Anne-Be´renge`re Beucher,Landron
Hepatictransplantation 1(4,AssistancePublique-Hoˆpitaux CampusdeLuminy,MD
HirabayashiA,AssistancePublique-Hoˆpitaux Me´decineInterne(MH,"MikuliczdiseaseandKu¨ttnertumor),inflammatoryaorticansionornephelometry)resultedinahighrateofspecificity(97%"
Jacques Serratrice,AssistancePublique-Hoˆpitaux Me´decineInterne(MH),Mostpatientspresentedwithmultipleorganinvolvement
Jean-Jacques Boffa,AssistancePublique-HoˆpitauxdeMarseille,NakanumaY.PathogenesisofIgG4
Jean-Loup Pennaforte,AssistancePublique-HoˆpitauxdeParis,Nantes
Jean-Robert Harle,AucouturierP,NishiS
Jose,Audrey Benyamine,NishiyamaS
Julien Haroche,AzumiA,OhHC
KamisawaT,B.Granel,OharaH
Karin Mazodier,Bertrand Godeau,Paris;INSERM
Karine Barrau-Baumstark,Birmingham,ParkSW
KhosroshahiA,BleekerWK,Pruritus
Kidney +++ ++ + ++,BoulangerE,SB
KimMH,Brigitte Granel,SawakiT
Koreanexperience,CRP,ShiratoriK
L).Only3patientspresentedwithallIgG TABLE4,CarruthersMN,UnizonyS
LaboratoryCharacteristicsofPatientsWith,CentreHospitalierUniversitairedeStras- des Interactions Cellulaires et Neurophysiopathologie (NICN) (JB),VoorenP
Males,ChanJK,YamaguchiK
Marc Ruivard,ChariST,YamaguchiT
Martinez,"ChariST,SmyrkTC",deMarseille
Masson,CheukW,hematoxylin
Michel Pavic,ChiuEK,hypophysitis
Mikael Ebbo,ChoiEK,incluThoracicaorta
Mohamed Hamidou,Christine Silvain,
Nice;Servicede HospicesCivilsdeLyon,ChuSY,
Nicolas Schleinitz,ChungJB,
NishimoriI,ClainJE,
Noe´mie Jourde,ClauvelJP,
Olivier Moranne,CogneM,
OrganInvolvementofPatientsWithIgG4-RSD,Copyright*2012byLippincottWilliams&Wilkins Reprints,
Pascal Roblot,DeBaetsMH,
Pierre Aucouturier,DeshpandeV,
Publique-HoˆpitauxdeParis,Didtheclinicalstatus,
Rituximab,DiegesPH,
SchuurmanJ,DistributionofIgGsubclasslevelsinpatientswith,
Sclerosingpancreatitis,DongL,
Splenomegaly 2(8,EB,
StoneJH.RituximabforthetreatmentofIgG4,ELISA,
Tamoxifen 1(4,Eastern,
Th2=,EguchiK,
Thomas Papo,Emmanuel Andres,
WiegmanL,Emmanuelle Bernit,
Xerophthalmia 6(24,EndoM,
Xerostomia 8(32,"FB),HoˆpitalNord",
ZenY,FH,
cohorts.11 Lymph,FITC,
de Marseille-Luminy,FITC = fluorescein inflammatoryorganinvolvementhavebeenrecognizedasmaniisothiocyanate,
eosin and/or Masson,Fanny Bernard,
lambda mAb,"February2009,andbetweenthenandOctober2010,25patients wereenteredintotheregistry",
pancreatitis,Fivepatientswereexcludedfromthecurrentseriesbecause,
withrenalinvolvementthaninIgG4-RSDpatientswithoutrenal,France,
,FromUniversite,
,FuentesV,
,FujiiT,
,FukaseS,
,FukushimaM,
,FukushimaT,
,Furtherclinical,
,FuruyaN,
,GK,
,GhazaleA,
,Gilles Kaplanski,
,Gouilleux,
,Gouilleux-GruartV,
,GuienC.Chronicinflammatory,
,HamanoH,
,HaradaK,
,Hepatology.2007;45:1538Y1546,
,HilgenbergA,
,HirabayashiA,
,HistologicResultsfor25IgG4-RSDPatients* Lymphocytic LymphoidFollicle PolyclonalPlasmocyte N Organ Fibrosis Infiltration Formation Infiltration ImmunohistologicStaining 1 Liver +++ + +,
,HommaN,
,HoriuchiA,
,HospicesCivilsdeLyon,
,Hugues Rousset,
,HwangCY,
,IF=interfollicularinfiltration,
,IN,
,IPT=inflammatorypseudotumor,
,IdaH,
,Ig,
,IgG,
,IgG4-RSD=IgG4-relatedsystemicdisease,
,IgG4-Related Systemic Disease Features and Treatment Response in a French Cohort,
